CRITERIA FOR SEARCH RESULTS:,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: AUSTRALASIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Country: Australia,,,,,,,,,,,,,,,,,,,,,,,,,,
Commodity: Gold,,,,,,,,,,,,,,,,,,,,,,,,,,
Resource Date: Greater Than 01/Nov/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Parent Number ID,Name,Propno,Latitude,,Longitude,,Status,Operator/Significant Owner,Reserve Date(Gold),Reserves - Tonnage(Gold),,Reserves - Grade(Gold),,Reserves - Contained Material(Gold),,Reserves - Category(Gold),Resource Date(Gold),Resources - Tonnage(Gold),,Resources - Grade(Gold),,Resources - Contained Material(Gold),,Resources - Category(Gold),Commodities
22764,,Adelaide Hills Gold Project,Gold,Inferred,22,",000t",6,g/t,4244,oz    ,1,30-Nov-13,2-Dec-13,Copied from Bird-in-Hand Gold Deposit - Yellow Reef,Yes,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Lead,N/A,,",000t",,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
22764,,Adelaide Hills Gold Project,Zinc,N/A,,",000t",,%,0,t     ,0,,31-Oct-06,,No,,,,,,,,,,,
33071,,All Nations Gold Deposit,Gold,Proven Probable,574,",000t",1.4,g/t,25836,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
33071,,All Nations Gold Deposit,Gold,Measured Indicated,1810,",000t",1.27,g/t,73905,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33071,,All Nations Gold Deposit,Gold,Inferred,420,",000t",1.04,g/t,14043,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33062,,Barton Gold Deposit,Gold,Proven Probable,1642,",000t",1.38,g/t,72852,oz    ,0,31-Dec-12,3-Apr-13,,Yes,,,,,,,,,,,
33062,,Barton Gold Deposit,Gold,Measured Indicated,3160,",000t",1.19,g/t,120900,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
33062,,Barton Gold Deposit,Gold,Inferred,550,",000t",1.12,g/t,19805,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
1908,,Beatons Creek Gold Deposit,Gold,Inferred,8900,",000t",1.47,g/t,420628,oz    ,0.5,13-Nov-13,13-Nov-13,,Yes,,,,,,,,,,,
